recency_dias,frecuencia_6m,ticket_promedio_usd,ltv_historico_usd,tiempo_entrega_promedio_min,sensibilidad_promos,quejas_recientes,distancia_local_km,churn_delivery,conversion_salon,valor_6m_aprox,tasa_quejas_por_pedido,promocion_vs_distancia,marca_principal_Kobe Sushi,marca_principal_Noe Sushi Bar,marca_principal_Nubori Experience
28,4,20.25,257.6,48.0,0.34,0,30.0,0,0,81.0,0.0,0.011295681063122924,True,False,False
22,5,44.0,699.26,39.0,0.14,1,3.5,0,1,220.0,0.16666666666666666,0.03888888888888889,False,False,True
109,5,18.67,225.17,20.0,0.15,0,2.5,1,0,93.35000000000001,0.0,0.05769230769230769,False,True,False
16,8,26.99,795.29,59.0,0.59,0,19.7,1,0,215.92,0.0,0.029797979797979796,False,True,False
13,5,17.32,285.17,50.0,0.16,1,0.5,1,0,86.6,0.16666666666666666,0.26666666666666666,True,False,False
100,7,17.08,281.81,36.0,0.37,0,13.0,0,0,119.55999999999999,0.0,0.028244274809160305,True,False,False
100,4,12.61,103.54,41.0,0.32,1,0.5,0,1,50.44,0.2,0.5333333333333333,True,False,False
62,9,60.89,2117.24,69.0,0.28,0,1.8,0,1,548.01,0.0,0.1473684210526316,False,False,True
43,4,44.09,389.45,60.0,0.57,0,15.0,0,1,176.36,0.0,0.03774834437086092,False,True,False
87,5,27.79,445.95,49.0,0.42,0,0.5,1,0,138.95,0.0,0.7,False,True,False
78,4,23.68,195.76,44.0,0.21,0,2.1,1,0,94.72,0.0,0.09545454545454544,True,False,False
32,7,64.77,1513.99,44.0,0.23,0,14.2,1,0,453.39,0.0,0.016083916083916086,False,False,True
67,7,53.61,1163.96,21.0,0.12,0,7.7,0,1,375.27,0.0,0.015384615384615384,False,False,True
91,5,18.89,170.59,40.0,0.35,0,2.8,0,1,94.45,0.0,0.12068965517241378,True,False,False
83,5,22.66,200.2,30.0,0.62,0,1.3,0,1,113.3,0.0,0.44285714285714284,True,False,False
86,4,16.88,202.52,58.0,0.1,0,0.5,0,1,67.52,0.0,0.16666666666666669,True,False,False
57,6,19.8,215.11,37.0,0.48,0,1.1,1,1,118.80000000000001,0.0,0.3999999999999999,True,False,False
65,5,46.84,610.56,49.0,0.55,0,0.5,0,1,234.20000000000002,0.0,0.9166666666666667,False,True,False
69,5,41.04,569.13,54.0,0.42,0,16.9,0,0,205.2,0.0,0.024705882352941175,False,True,False
49,5,13.68,249.26,55.0,0.52,0,8.9,0,0,68.4,0.0,0.05777777777777778,True,False,False
33,4,34.69,213.58,39.0,0.14,0,0.5,0,0,138.76,0.0,0.23333333333333336,False,True,False
115,6,21.66,292.61,45.0,0.77,0,7.1,1,0,129.96,0.0,0.10694444444444445,True,False,False
19,4,14.67,202.33,23.0,0.2,0,0.9,1,0,58.68,0.0,0.2,True,False,False
36,5,17.34,339.4,65.0,0.29,0,2.6,0,1,86.7,0.0,0.1074074074074074,True,False,False
115,8,53.06,1504.22,56.0,0.55,0,17.0,1,0,424.48,0.0,0.03216374269005848,False,True,False
