customer_id,marca_principal,recency_dias,frecuencia_6m,ticket_promedio_usd,ltv_historico_usd,tiempo_entrega_promedio_min,sensibilidad_promos,quejas_recientes,distancia_local_km,churn_delivery,conversion_salon
1,Kobe Sushi,28,4,20.25,257.6,48.0,0.34,0,30.0,0,0
2,Nubori Experience,22,5,44.0,699.26,39.0,0.14,1,3.5,0,1
3,Noe Sushi Bar,109,5,18.67,225.17,20.0,0.15,0,2.5,1,0
4,Noe Sushi Bar,16,8,26.99,795.29,59.0,0.59,0,19.7,1,0
5,Kobe Sushi,13,5,17.32,285.17,50.0,0.16,1,0.5,1,0
6,Kobe Sushi,100,7,17.08,281.81,36.0,0.37,0,13.0,0,0
7,Kobe Sushi,100,4,12.61,103.54,41.0,0.32,1,0.5,0,1
8,Nubori Experience,62,9,60.89,2117.24,69.0,0.28,0,1.8,0,1
9,Noe Sushi Bar,43,4,44.09,389.45,60.0,0.57,0,15.0,0,1
10,Noe Sushi Bar,87,5,27.79,445.95,49.0,0.42,0,0.5,1,0
11,Kobe Sushi,78,4,23.68,195.76,44.0,0.21,0,2.1,1,0
12,Nubori Experience,32,7,64.77,1513.99,44.0,0.23,0,14.2,1,0
13,Nubori Experience,67,7,53.61,1163.96,21.0,0.12,0,7.7,0,1
14,Kobe Sushi,91,5,18.89,170.59,40.0,0.35,0,2.8,0,1
15,Kobe Sushi,83,5,22.66,200.2,30.0,0.62,0,1.3,0,1
16,Kobe Sushi,86,4,16.88,202.52,58.0,0.1,0,0.5,0,1
17,Kobe Sushi,57,6,19.8,215.11,37.0,0.48,0,1.1,1,1
18,Noe Sushi Bar,65,5,46.84,610.56,49.0,0.55,0,0.5,0,1
19,Noe Sushi Bar,69,5,41.04,569.13,54.0,0.42,0,16.9,0,0
20,Kobe Sushi,49,5,13.68,249.26,55.0,0.52,0,8.9,0,0
21,Noe Sushi Bar,33,4,34.69,213.58,39.0,0.14,0,0.5,0,0
22,Kobe Sushi,115,6,21.66,292.61,45.0,0.77,0,7.1,1,0
23,Kobe Sushi,19,4,14.67,202.33,23.0,0.2,0,0.9,1,0
24,Kobe Sushi,36,5,17.34,339.4,65.0,0.29,0,2.6,0,1
25,Noe Sushi Bar,115,8,53.06,1504.22,56.0,0.55,0,17.0,1,0
26,Chef Choy,70,2,43.51,141.91,49.0,0.22,0,6.7,0,0
27,Kobe Sushi,15,6,18.95,260.16,57.0,0.49,0,0.8,0,0
28,Noe Sushi Bar,100,6,54.16,758.81,39.0,0.2,0,16.9,1,0
29,Noe Sushi Bar,120,7,48.01,764.72,53.0,0.56,0,8.3,1,0
30,Kobe Sushi,97,5,11.46,160.64,65.0,0.28,0,7.4,0,0
31,Noe Sushi Bar,24,4,55.76,834.44,45.0,0.26,0,1.4,1,0
32,Kobe Sushi,27,6,28.17,494.0,22.0,0.27,0,2.6,1,0
33,Kobe Sushi,49,7,11.19,247.64,41.0,0.21,0,3.0,0,1
34,Nubori Experience,75,6,45.57,478.02,63.0,0.12,0,4.2,0,0
35,Nubori Experience,113,4,88.46,785.05,81.0,0.18,0,4.7,1,0
36,Nubori Experience,23,9,73.52,1062.75,46.0,0.41,0,0.9,0,1
37,Kobe Sushi,33,8,17.1,372.96,60.0,0.36,0,2.9,0,0
38,Kobe Sushi,41,7,18.77,499.8,39.0,0.69,0,10.0,0,1
39,Noe Sushi Bar,110,2,55.3,172.9,55.0,0.17,0,2.0,0,1
40,Noe Sushi Bar,111,3,59.8,429.98,37.0,0.1,0,14.6,0,0
41,Kobe Sushi,56,2,19.16,66.0,29.0,0.35,0,1.7,0,0
42,Noe Sushi Bar,29,5,40.82,784.81,53.0,0.72,1,2.9,0,1
43,Kobe Sushi,31,2,24.43,144.77,25.0,0.27,0,1.3,0,0
44,Nubori Experience,65,4,63.21,851.96,56.0,0.14,1,2.7,0,0
45,Kobe Sushi,98,7,10.87,295.54,38.0,0.21,0,9.6,0,1
46,Noe Sushi Bar,18,3,44.06,302.57,50.0,0.22,0,5.7,0,1
47,Kobe Sushi,82,8,19.55,327.44,48.0,0.22,0,1.5,0,0
48,Noe Sushi Bar,6,9,57.51,1725.1,20.0,0.48,1,0.5,1,0
49,Noe Sushi Bar,52,4,71.48,663.03,32.0,0.02,2,2.1,0,1
50,Kobe Sushi,40,8,20.56,392.58,56.0,0.18,1,0.6,0,1
51,Nubori Experience,65,5,66.7,1078.99,20.0,0.18,0,3.8,0,1
52,Chef Choy,111,6,33.58,647.2,25.0,0.29,0,1.7,1,0
53,Nubori Experience,42,11,77.28,2600.41,29.0,0.37,0,11.0,0,0
54,Nubori Experience,94,7,72.88,1518.9,44.0,0.28,0,1.8,1,1
55,Noe Sushi Bar,68,7,48.43,642.35,67.0,0.11,0,3.6,0,1
56,Nubori Experience,32,3,45.27,459.65,33.0,0.64,0,4.3,0,0
57,Kobe Sushi,10,5,10.29,120.14,49.0,0.23,0,10.3,0,0
58,Kobe Sushi,107,10,24.68,507.93,43.0,0.29,0,10.8,1,0
59,Kobe Sushi,69,7,20.31,420.37,64.0,0.32,2,0.5,1,0
60,Kobe Sushi,9,3,22.21,131.1,52.0,0.33,0,1.0,0,1
61,Kobe Sushi,69,6,15.82,296.77,66.0,0.63,0,5.0,0,0
62,Kobe Sushi,61,7,12.57,294.13,34.0,0.21,0,3.1,0,1
63,Nubori Experience,11,5,33.97,520.47,50.0,0.04,0,9.7,0,0
64,Kobe Sushi,99,9,13.78,319.78,44.0,0.36,0,4.6,1,0
65,Kobe Sushi,91,6,14.21,163.63,51.0,0.56,0,8.6,0,1
66,Noe Sushi Bar,68,3,44.85,417.9,64.0,0.59,3,2.4,1,0
67,Kobe Sushi,74,4,15.08,117.58,33.0,0.59,1,13.4,1,0
68,Nubori Experience,103,8,47.34,1127.61,39.0,0.33,0,1.7,0,0
69,Kobe Sushi,97,5,17.15,200.06,51.0,0.35,0,3.0,1,1
70,Nubori Experience,102,6,67.91,1281.04,34.0,0.36,0,5.2,0,0
71,Chef Choy,8,7,25.84,668.26,52.0,0.17,0,4.6,0,1
72,Kobe Sushi,49,12,17.45,540.58,44.0,0.66,0,7.0,0,1
73,Kobe Sushi,24,8,15.57,337.38,66.0,0.3,0,8.0,0,0
74,Nubori Experience,103,8,81.37,1618.27,60.0,0.36,0,1.5,0,1
75,Noe Sushi Bar,33,9,21.48,576.32,77.0,0.22,0,1.3,0,0
76,Noe Sushi Bar,105,6,64.64,1041.8,35.0,0.49,1,0.6,0,1
77,Chef Choy,107,12,16.78,347.76,38.0,0.18,0,4.4,1,0
78,Kobe Sushi,19,8,14.28,186.53,39.0,0.33,0,30.0,1,0
79,Kobe Sushi,2,4,17.36,247.37,49.0,0.53,0,1.4,1,0
80,Kobe Sushi,55,7,21.29,558.18,53.0,0.14,0,7.9,0,1
81,Nubori Experience,11,4,62.55,877.42,78.0,0.39,0,0.7,0,0
